CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
244933286,90,BROOKLYN,12/20/2019,06:00:00,01/15/2020,15:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO BKLYN NORTH,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,01/29/2020,,,,,,25-44,WHITE,M,996181,196495,40.70601031900002,-73.95696897699997,"(40.70601031900002, -73.95696897699997)"
420117215,47,BRONX,12/20/2019,00:01:00,12/20/2019,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,01/26/2020,,,,,,45-64,BLACK,F,1027567,259940,40.88005142100008,-73.84335760299997,"(40.88005142100008, -73.84335760299997)"
470965461,52,BRONX,12/20/2019,17:00:00,01/04/2020,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BRONX,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,01/26/2020,,UNKNOWN,UNKNOWN,U,,25-44,WHITE HISPANIC,M,1009213,253160,40.861513399000046,-73.90975492099993,"(40.861513399000046, -73.90975492099993)"
928602901,26,MANHATTAN,12/20/2019,09:00:00,01/21/2020,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO MAN NORTH,338,"LARCENY,PETIT FROM BUILDING,UN",,01/22/2020,,UNKNOWN,UNKNOWN,U,,18-24,WHITE HISPANIC,F,994204,233520,40.80763694400008,-73.96404476699998,"(40.80763694400008, -73.96404476699998)"
897150467,115,QUEENS,12/20/2019,11:00:00,12/20/2019,11:05:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,FRONT OF,HARRASSMENT 2,,PATROL BORO QUEENS NORTH,638,"HARASSMENT,SUBD 3,4,5",STREET,01/24/2020,,25-44,WHITE HISPANIC,M,,25-44,WHITE HISPANIC,F,1018808,214264,40.754722396000034,-73.87526722799998,"(40.754722396000034, -73.87526722799998)"
732511217,67,BROOKLYN,12/20/2019,08:00:00,12/20/2019,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,110,FELONY,FRONT OF,GRAND LARCENY OF MOTOR VEHICLE,,PATROL BORO BKLYN SOUTH,441,"LARCENY,GRAND OF AUTO",STREET,01/23/2020,,,,,,UNKNOWN,UNKNOWN,D,998545,177640,40.65425411800004,-73.94848254999994,"(40.65425411800004, -73.94848254999994)"
667940590,62,BROOKLYN,12/20/2019,17:35:00,01/31/2020,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,352,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,01/31/2020,,UNKNOWN,UNKNOWN,U,,45-64,WHITE,F,990592,157898,40.600075738000044,-73.97716354599999,"(40.600075738000044, -73.97716354599999)"
289345013,68,BROOKLYN,12/20/2019,10:00:00,02/07/2020,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN SOUTH,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE-HOUSE,02/07/2020,,,,,,45-64,WHITE,F,975784,171678,40.637897201000044,-74.03050525699997,"(40.637897201000044, -74.03050525699997)"
512805126,19,MANHATTAN,12/20/2019,19:02:00,12/20/2019,19:05:00,COMPLETED,,,0,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,,PATROL BORO MAN NORTH,223,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE - APT. HOUSE,01/30/2020,,UNKNOWN,WHITE,M,,25-44,BLACK,M,998586,223661,40.78057063200004,-73.948236782,"(40.78057063200004, -73.948236782)"
280689683,44,BRONX,12/20/2019,00:00:00,02/03/2020,15:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BRONX,307,"LARCENY,PETIT BY DISHONEST EMP",DEPARTMENT STORE,02/03/2020,,25-44,UNKNOWN,F,,UNKNOWN,UNKNOWN,D,1006537,244511,40.83778161800007,-73.91945797099999,"(40.83778161800007, -73.91945797099999)"
252099965,20,MANHATTAN,12/20/2019,20:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN NORTH,637,"HARASSMENT,SUBD 1,CIVILIAN",OTHER,02/04/2020,,18-24,WHITE HISPANIC,M,,18-24,BLACK,F,990555,226593,40.78862756900003,-73.97723249799998,"(40.78862756900003, -73.97723249799998)"
552847240,17,MANHATTAN,12/20/2019,11:58:00,01/04/2020,16:18:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN SOUTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,02/07/2020,,18-24,BLACK,M,,25-44,WHITE,F,991353,210389,40.74415117300003,-73.97436783899997,"(40.74415117300003, -73.97436783899997)"
103134689,108,QUEENS,12/20/2019,08:00:00,02/07/2020,13:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS NORTH,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,02/07/2020,,UNKNOWN,UNKNOWN,U,,45-64,WHITE,F,999085,212908,40.75105560600008,-73.94645871599994,"(40.75105560600008, -73.94645871599994)"
394560713,34,MANHATTAN,12/20/2019,08:00:00,12/20/2019,20:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO MAN NORTH,352,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,02/03/2020,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,1002594,248080,40.84758654900003,-73.93369789799993,"(40.84758654900003, -73.93369789799993)"
974495255,77,BROOKLYN,12/20/2019,15:00:00,12/20/2019,19:08:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BKLYN NORTH,352,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,02/08/2020,,,,,,25-44,WHITE,M,993962,184557,40.673245965000035,-73.96498962499999,"(40.673245965000035, -73.96498962499999)"
148858709,42,BRONX,12/20/2019,17:00:00,12/23/2019,07:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO BRONX,352,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,02/07/2020,,,,,,25-44,UNKNOWN,F,1008051,239452,40.82389216900003,-73.91400444399994,"(40.82389216900003, -73.91400444399994)"
962100396,48,BRONX,12/20/2019,15:00:00,12/20/2019,15:05:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO BRONX,339,"LARCENY,PETIT FROM OPEN AREAS,",OPEN AREAS (OPEN LOTS),02/03/2020,,,,,,25-44,WHITE HISPANIC,F,1016400,247595,40.846215894000075,-73.88379910799993,"(40.846215894000075, -73.88379910799993)"
585281390,69,BROOKLYN,12/20/2019,08:00:00,02/05/2020,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,353,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",RESIDENCE-HOUSE,02/05/2020,,,,,,45-64,BLACK,M,1010154,169298,40.63133078100003,-73.90667599899997,"(40.63133078100003, -73.90667599899997)"
573291615,23,MANHATTAN,12/20/2019,15:05:00,02/02/2020,15:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,02/02/2020,,25-44,WHITE,M,,25-44,WHITE,M,998450,226174,40.787468369000074,-73.94872254099994,"(40.787468369000074, -73.94872254099994)"
441272885,72,BROOKLYN,12/20/2019,01:24:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,02/11/2020,,UNKNOWN,UNKNOWN,U,,45-64,WHITE,F,985934,180664,40.66256571200007,-73.99393158599996,"(40.66256571200007, -73.99393158599996)"
