Complaint ID,Borough,Complaint Date,Latitude,Longitude,Neighborhood
617779336,QUEENS,12/27/2019,40.761743826000036,-73.87308820099996,East Elmhurst
980164124,BROOKLYN,12/27/2019,40.66525277200003,-73.89612119999998,East New York
626169728,BROOKLYN,12/27/2019,40.68936539600002,-73.91985359399997,Bushwick
765429496,BROOKLYN,12/27/2019,40.68273113500004,-73.95488919199995,Bedford Stuyvesant
960606877,STATEN ISLAND,12/27/2019,40.645022746000045,-74.077216847,St. George
967086117,MANHATTAN,12/27/2019,40.72182201900005,-73.98747935099993,Lower East Side
188007740,QUEENS,12/27/2019,40.735081518000065,-73.86600526299998,Elmhurst
115663500,QUEENS,12/27/2019,40.67964650900007,-73.78966500499997,Jamaica
759816550,BROOKLYN,12/27/2019,40.660273077000056,-73.985584224,Park Slope
822404715,BROOKLYN,12/27/2019,40.60887718200007,-74.01215300299998,Bath Beach
814622185,MANHATTAN,12/27/2019,40.72902817200002,-73.97717348099997,East Village
951302837,BROOKLYN,12/27/2019,40.631257160000075,-73.94599639799998,Flatbush
297982884,BROOKLYN,12/27/2019,40.67878526100003,-73.88533106599994,East New York
248419382,BROOKLYN,12/27/2019,40.63752013100003,-73.95757161699999,Flatbush
849844058,QUEENS,12/27/2019,40.68045594400007,-73.76138524099997,St. Albans
462591469,QUEENS,12/27/2019,40.746025375000045,-73.87886358699996,Elmhurst
655917993,QUEENS,12/27/2019,40.75853882600006,-73.82190617499998,Murray Hill
954204689,BROOKLYN,12/27/2019,40.57633260500006,-73.96406848099997,Brighton Beach
982215465,QUEENS,12/27/2019,40.77040861500007,-73.875263121,East Elmhurst
695238707,BRONX,12/27/2019,40.87240588700007,-73.90155033899998,Kingsbridge
992071674,BROOKLYN,12/27/2019,40.612930541000026,-73.98241049899997,Bensonhurst
893605236,BRONX,12/27/2019,40.862005457000066,-73.90389394899995,University Heights
575305228,BROOKLYN,12/27/2019,40.66724956500008,-73.93544158499998,Crown Heights
603555917,BROOKLYN,12/27/2019,40.67163678100008,-73.96262203799995,Prospect Heights
